internal_hyperedge_id,PMID
198,35365513
199,35474948
200,35601918
201,35606107
202,35868307
203,36058039
204,36125130
205,36130503
206,36138563
207,36138767
208,36185364
209,36280286
210,36458691
211,36470781
212,36517066
213,36595902
214,36606330
215,36798170
216,36926653
217,37190854
218,37274469
219,37431628
220,37715951
221,37730102
222,37788895
223,37844526
224,37858474
225,37859758
226,38003300
227,10874530
228,10924025
229,11021906
230,11102278
231,11924921
232,15036653
233,15496957
234,16293213
235,16808024
236,17351469
237,17702652
238,18981082
239,19084270
240,19951357
241,21380929
242,22193102
243,22408579
244,23547785
245,23606327
246,20039306
247,23613512
248,23782692
249,24706754
250,24824573
251,25487990
252,25746969
253,26150545
254,26181363
255,26242460
256,26343373
257,26482911
258,26497557
259,26735698
260,26784253
261,27259995
262,27352021
263,27914916
264,28199764
265,28286864
266,28293383
267,28614794
268,28680463
269,28695282
270,29097600
271,29197836
272,29439156
273,29566973
274,29873633
275,29997286
276,30137025
277,30417054
278,30457982
279,30483756
280,30562790
281,31017296
282,31044554
283,31121434
284,31287264
285,31391334
286,31532390
287,31814810
288,31845610
289,32161191
290,32181396
291,32313216
292,32571979
293,32756008
294,32817896
295,32843695
296,32904199
297,33108348
298,33177289
299,33320839
300,33341446
301,33343783
302,33400692
303,33461580
304,33494280
305,33530719
306,33603130
307,33636070
308,33651004
309,34234001
310,34263738
311,34280520
312,34551955
313,34711598
314,34747107
315,34893184
316,34988399
317,35076028
318,35166672
319,35184515
320,35198887
321,35218227
322,35396297
323,35507878
324,35574284
325,35674826
326,36130512
327,36583252
328,36592483
329,36595955
330,37243592
331,37278932
332,37308929
333,37533141
334,12738363
335,15157641
336,15585328
337,15597669
338,16250828
339,16336683
340,16463791
341,16622432
342,16846255
343,16969152
344,17114498
345,17243445
346,17396393
347,18498761
348,19011820
349,19477117
350,19769730
351,19821804
352,19840318
353,20933599
354,22094130
355,22417207
356,23170174
357,23496667
358,23578336
359,14747841
360,21057327
361,21763468
362,23215765
363,23242777
364,23362327
365,24000152
366,24267364
367,24336351
368,24508980
369,24553602
370,24562799
371,25562058
372,25758716
373,25801896
374,25873819
375,26350597
376,26459770
377,26597013
378,26621750
379,26815893
380,26824503
381,27067744
382,27412129
383,27556516
384,28008148
385,28077213
386,28366292
387,28469075
388,28776757
389,28781150
390,28936243
391,29019461
392,29264382
393,29337492
394,29376920
395,29587663
396,29675865
397,29741477
398,30218579
399,30800957
400,31024994
401,31244472
402,31526864
403,31554512
404,31554723
405,31594084
406,31600172
407,31795837
408,32163377
409,32221017
410,32499314
411,32822573
412,33151910
413,33211356
